state,pc_name,candidate,sex,age,category,party,party_symbol,general_votes,postal_votes,total_votes,total_electors
telangana,adilabad,GODAM NAGESH,M,49,ST,TRS,Car,425762,5085,430847,1386282
telangana,adilabad,NARESH,M,37,ST,INC,Hand,257994,1563,259557,1386282
telangana,adilabad,RAMESH RATHOD,M,48,ST,TDP,Bicycle,182879,1319,184198,1386282
telangana,adilabad,RATHOD SADASHIV,M,55,ST,BSP,Elephant,94363,57,94420,1386282
telangana,adilabad,NETHAWATH RAMDAS,M,44,ST,IND,Auto- Rickshaw,41028,4,41032,1386282
telangana,adilabad,PAWAR KRISHNA,M,33,ST,IND,Bat,5051,4,5055,1386282
telangana,adilabad,BANKA SAHADEV,M,53,ST,IND,Gas Cylinder,4780,7,4787,1386282
telangana,adilabad,MOSALI CHINNAIAH,M,40,ST,IND,Almirah,8842,17,8859,1386282
telangana,adilabad,None of the Above,,0,,NOTA,NOTA,17021,63,17084,1386282
andhra pradesh,peddapalle,DR.JANAPATI SARAT BABU,M,42,SC,TDP,Bicycle,63174,160,63334,1425355
andhra pradesh,peddapalle,TAGARAM SHANKAR LAL,M,37,SC,BSP,Elephant,9430,19,9449,1425355
andhra pradesh,peddapalle,BALKA SUMAN,M,31,SC,TRS,Car,563214,2282,565496,1425355
andhra pradesh,peddapalle,G. VIVEKANAND,M,56,SC,INC,Hand,273441,897,274338,1425355
andhra pradesh,peddapalle,KALVALA SHANKAR,M,44,SC,PPOI,Television,9288,2,9290,1425355
andhra pradesh,peddapalle,KALVALA SANJEEV,M,37,SC,RPI,Sewing Machine,8609,0,8609,1425355
andhra pradesh,peddapalle,BOTHA VENKATA MALLAIAH,M,58,SC,BCUF,Chappals,2245,0,2245,1425355
andhra pradesh,peddapalle,J.V. RAJU,M,50,SC,NIP,Cup & Saucer,3020,0,3020,1425355
andhra pradesh,peddapalle,VENKATA SWAMY INJAM,M,42,SC,MaSP,Ring,3861,5,3866,1425355
andhra pradesh,peddapalle,VELTHURU MALLAIAH,M,57,SC,RP(K),Auto- Rickshaw,45976,1,45977,1425355
andhra pradesh,peddapalle,KAMILLA JAYA RAO,M,43,SC,IND,Scissors,2741,1,2742,1425355
andhra pradesh,peddapalle,GADDALA VINAY KUMAR,M,65,SC,IND,Ceiling Fan,3263,3,3266,1425355
andhra pradesh,peddapalle,GORRE RAMESH,M,43,SC,IND,Gas Cylinder,2359,2,2361,1425355
andhra pradesh,peddapalle,JINNA RAMADEVI,F,37,SC,IND,Battery Torch,9199,0,9199,1425355
andhra pradesh,peddapalle,THALLAPALLI SRINIVAS,M,35,SC,IND,Candles,3698,1,3699,1425355
andhra pradesh,peddapalle,BUPELLI NARAYANA,M,30,SC,IND,Bat,7255,3,7258,1425355
andhra pradesh,peddapalle,MOUTAM RAVINDER,M,33,SC,IND,Almirah,2671,3,2674,1425355
andhra pradesh,peddapalle,None of the Above,,0,,NOTA,NOTA,5344,17,5361,1425355
telangana,karimnagar,CHENNAMANENI VIDYA SAGAR RAO,M,73,GEN,BJP,Lotus,213836,992,214828,1550810
telangana,karimnagar,PONNAM PRABHAKAR,M,47,GEN,INC,Hand,298386,2320,300706,1550810
telangana,karimnagar,BURLA. RAVI,M,42,GEN,NCP,Clock,4768,1,4769,1550810
telangana,karimnagar,B. LAXMAN,M,53,SC,BSP,Elephant,11289,39,11328,1550810
telangana,karimnagar,VINOD KUMAR BOINAPALLY,M,54,GEN,TRS,Car,503197,2161,505358,1550810
telangana,karimnagar,DR.DHARMAIAH VENDAVETLA,M,61,SC,BMUP,Cot,3771,1,3772,1550810
telangana,karimnagar,L. PRABHAKAR REDDY,M,48,GEN,PPOI,Television,3942,1,3943,1550810
telangana,karimnagar,MEESALA RAJI REDDY,M,44,GEN,YSRCP,Ceiling Fan,3071,4,3075,1550810
telangana,karimnagar,RANAVENI LAKSHMAN,M,41,GEN,NIP,Cup & Saucer,2061,1,2062,1550810
telangana,karimnagar,REDDI MALLA SRINIVAS,M,46,SC,RPI(A),Sewing Machine,8033,1,8034,1550810
telangana,karimnagar,SHAIK MAHMOOD,M,58,GEN,WPOI,Auto- Rickshaw,39300,8,39308,1550810
telangana,karimnagar,UPPULETI.LAXMAN,M,49,SC,IND,Bat,2445,0,2445,1550810
telangana,karimnagar,KANDEM PRABHAKAR,M,45,GEN,IND,Gas Stove,4727,1,4728,1550810
telangana,karimnagar,PULIKOTA RAMESH,M,34,SC,IND,Battery Torch,1772,1,1773,1550810
telangana,karimnagar,MALLESH YADAV BARLA,M,26,GEN,IND,Coconut,2757,0,2757,1550810
telangana,karimnagar,MOHAMMED AMJAD MOHIUDDIN,M,45,GEN,IND,Kite,6713,0,6713,1550810
telangana,karimnagar,SRINIVAS REDDY LINGAMPALLY,M,41,GEN,IND,Carrom Board,3851,0,3851,1550810
telangana,karimnagar,None of the Above,,0,,NOTA,NOTA,5722,12,5734,1550810
telangana,nizamabad,ENDALA LAKSHMINARAYANA,M,51,GEN,BJP,Lotus,222876,2457,225333,1496193
telangana,nizamabad,KALVAKUNTLA KAVITHA,F,36,GEN,TRS,Car,435706,3601,439307,1496193
telangana,nizamabad,TALARI RAMULU,M,46,SC,BSP,Elephant,7398,23,7421,1496193
telangana,nizamabad,MADHU YASKHI GOUD,M,56,GEN,INC,Hand,270948,1175,272123,1496193
telangana,nizamabad,ABDUL GANI,M,39,GEN,BCUF,Chappals,4791,0,4791,1496193
telangana,nizamabad,BANJA VEERAPPA,M,53,GEN,PPOI,Television,3649,2,3651,1496193
telangana,nizamabad,MALIK MOHTASIM KHAN,M,47,GEN,WPOI,Auto- Rickshaw,43738,76,43814,1496193
telangana,nizamabad,RAPELLY SRINIVAS,M,39,GEN,AAAP,Broom,2613,8,2621,1496193
telangana,nizamabad,SAGAR SUDDALA,M,32,SC,BMUP,Cot,1952,26,1978,1496193
telangana,nizamabad,SINGAREDDY RAVINDRA REDDY,M,46,GEN,YSRCP,Ceiling Fan,3508,21,3529,1496193
telangana,nizamabad,ABDUL KAREEM KHAN (BABU),M,44,GEN,IND,Bat,1599,2,1601,1496193
telangana,nizamabad,KANDEM PRABHAKAR,M,45,GEN,IND,Gas Stove,3988,2,3990,1496193
